Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,01-Mar,PPA,CrsPA,PrgP,Matches
330,Lewis Miley,eng ENG,MF,Newcastle Utd,18-296,2006,0.9,63.3,67.8,93.4,848.9,140,38.9,40,97.2,18.9,18.9,100,2.22,3.33,66.7,0,0,0,0,0,3.33,0,0,4.44,Matches
331,James Milner,eng ENG,MF,Brighton,39-048,1986,1.9,28.9,38.4,75.3,473.2,182.6,13.7,14.7,92.9,12.1,15.8,76.7,2.11,5.26,40,0,0.11,0.11,-0.11,2.11,1.58,0.53,0.53,5.26,Matches
332,Tyrone Mings,eng ENG,DF,Aston Villa,31-345,1993,7,53,60.3,87.9,947.1,330.1,20.3,22.1,91.6,29,30.7,94.4,3.14,6,52.4,0,0.03,0.03,-0.03,0.29,3.71,0.71,0,3.43,Matches
333,Yankuba Minteh,gm GAM,"FW,MF",Brighton,20-214,2004,10.3,16.6,27.4,60.6,277.2,96.2,8.93,11.9,74.8,5.53,7.86,70.4,1.65,3.88,42.5,0.19,0.31,0.29,-0.12,1.75,0.78,1.65,0.39,2.23,Matches
334,Tyrick Mitchell,eng ENG,DF,Crystal Palace,25-173,1999,23.9,29.8,41.3,72.2,483.4,184.6,15.4,18.5,83.1,12.1,16.1,75.3,1.67,4.06,41.2,0.13,0.18,0.12,-0.05,1.26,1.46,1.05,0.54,2.09,Matches
335,Kaoru Mitoma,jp JPN,"FW,MF",Brighton,27-277,1997,22,25.9,34.1,75.9,344.5,75,17,19.6,86.8,6.77,9.32,72.7,0.95,2.05,46.7,0.14,0.2,0.15,-0.06,1.45,1.14,1.18,0.27,3.14,Matches
336,Jakub Moder,pl POL,MF,Brighton,25-320,1999,0.1,180,220,81.8,2540,820,100,140,71.4,80,80,100,0,0,,0,2,5,-2,30,0,10,10,40,Matches
337,Mikey Moore,eng ENG,"FW,MF",Tottenham,17-194,2007,2.1,22.9,31.9,71.6,282.4,79,14.3,14.8,96.8,6.19,9.52,65,0.48,2.38,20,0.48,0.14,0.24,0.33,1.43,0.48,2.38,0.48,3.33,Matches
338,Morato,br BRA,DF,Nott'ham Forest,23-236,2001,6.7,21.9,30.1,72.8,368.8,191.6,9.85,11.9,82.5,10.1,11.9,85,1.19,3.58,33.3,0,0,0,0,0,1.34,0,0,1.94,Matches
339,Alex Moreno,es ESP,DF,Nott'ham Forest,31-258,1993,9,28.6,40,71.4,422.1,166.9,17.3,20.1,86.2,8.67,13.3,65,1.33,3.89,34.3,0.11,0.11,0.09,0,0.44,2.22,0.78,0.11,3.22,Matches
340,Sam Morsy,eg EGY,MF,Ipswich Town,33-164,1991,21.1,43.4,49.7,87.2,688.5,182.9,23.3,24.9,93.3,16.3,17.8,91.2,2.75,4.36,63,0.05,0.03,0.05,0.01,0.66,5.5,0.52,0.09,4.08,Matches
341,Yerson Mosquera,co COL,DF,Wolves,23-295,2001,4.9,41.8,49,85.4,815.5,241.6,13.5,14.9,90.4,23.5,25.1,93.5,4.49,7.14,62.9,0,0.02,0,-0.02,0.41,3.27,0.2,0.2,1.43,Matches
342,Mason Mount,eng ENG,"MF,FW",Manchester Utd,26-042,1999,2.7,28.1,35.2,80,416.3,89.3,15.9,18.1,87.8,7.78,10,77.8,1.85,3.33,55.6,0,0.04,0.04,-0.04,1.48,1.85,0,0,2.96,Matches
343,Divin Mubama,eng ENG,FW,Manchester City,20-119,2004,0.3,6.67,10,66.7,146.7,60,3.33,3.33,100,0,0,,3.33,3.33,100,0,0,0,0,0,0,0,0,3.33,Matches
344,Mykhailo Mudryk,ua UKR,FW,Chelsea,24-047,2001,1.7,16.5,24.7,66.7,253.5,97.1,10,14.1,70.8,5.88,8.82,66.7,0.59,1.18,50,0,0.59,0.29,-0.59,1.18,1.18,1.18,0.59,2.94,Matches
345,Marshall Munetsi,zw ZIM,FW,Wolves,28-244,1996,0.5,6,8,75,98,58,2,2,100,4,6,66.7,0,0,,0,0,0,0,0,0,2,0,4,Matches
346,Rodrigo Muniz,br BRA,FW,Fulham,23-293,2001,7.6,8.68,13.4,64.7,145.5,47.1,3.95,5.79,68.2,3.03,4.34,69.7,1.18,1.45,81.8,0.13,0.08,0.01,0.05,0.79,1.18,0.26,0,2.5,Matches
347,Daniel Munoz,co COL,DF,Crystal Palace,28-271,1996,23,32.3,42.9,75.4,500.1,140.1,18.1,21.3,85.1,12.3,15.7,78.3,1.48,3.48,42.5,0.13,0.16,0.1,-0.03,1.35,1.65,0.74,0.35,2.57,Matches
348,Arijanet Muric,xk KVX,GK,Ipswich Town,26-106,1998,18,25.2,35.2,71.7,650.3,458.2,6.78,6.78,100,11.9,12.3,97.3,6.39,15.7,40.6,0,0,0,0,0,0.78,0,0,0.06,Matches
349,Murillo,br BRA,DF,Nott'ham Forest,22-232,2002,23.5,30.6,38.7,78.9,594.6,278.2,12.4,13.5,91.5,13.2,15.1,87.4,4.21,8.55,49.3,0,0.05,0.04,-0.05,0.47,2.85,0.34,0,3.06,Matches
350,Jacob Murphy,eng ENG,FW,Newcastle Utd,29-363,1995,15.9,25.5,36.3,70.4,382,124.7,15.6,18.4,84.6,7.67,11.3,68.2,1.57,3.65,43.1,0.5,0.4,0.23,0.11,1.7,2.14,1.57,0.44,3.33,Matches
351,Vitaliy Mykolenko,ua UKR,DF,Everton,25-268,1999,22.2,27.9,38.1,73.4,464.6,188.4,14.1,16,88.2,10.9,14.8,73.8,2.3,5.45,42.1,0,0.05,0.05,-0.05,0.63,3.06,0.95,0.54,3.6,Matches
352,Iliman Ndiaye,sn SEN,FW,Everton,24-352,2000,20.9,21.9,27,80.9,335.5,69.8,12.3,14.5,84.9,7.42,8.61,86.1,1.58,2.2,71.7,0,0.07,0.05,-0.07,0.77,1.48,0.62,0.24,1.82,Matches
353,Wilfred Ndidi,ng NGA,MF,Leicester City,28-067,1996,14.4,30.8,38.8,79.4,439,113.5,16.8,19.7,85.2,10.1,12.2,83.4,1.53,2.99,51.2,0.28,0.1,0.08,0.18,0.63,2.57,0.42,0.07,2.57,Matches
354,Kosta Nedeljkovic,rs SRB,DF,Aston Villa,19-067,2005,1.4,33.6,37.9,88.7,609.3,132.1,15.7,16.4,95.7,15,17.9,84,2.86,3.57,80,0,0,0,0,0,3.57,0,0,4.29,Matches
355,Reiss Nelson,eng ENG,FW,Arsenal,25-073,1999,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
356,Reiss Nelson,eng ENG,FW,Fulham,25-073,1999,5.4,43,49.6,86.6,635,140.9,25.2,27.2,92.5,14.3,16.9,84.6,2.22,3.52,63.2,0.19,0.19,0.19,0,2.41,1.3,2.78,0.56,6.48,Matches
357,Neto,br BRA,GK,Bournemouth,35-217,1989,2,20,31,64.5,591.5,448,3.5,3.5,100,10.5,10.5,100,6,16.5,36.4,0,0,0,0,0,1,0,0,0,Matches
358,Pedro Neto,pt POR,FW,Chelsea,24-349,2000,13.3,27.1,35,77.5,423.9,84.5,14.1,15.6,90.8,10.1,12.3,81.7,1.88,4.36,43.1,0.15,0.2,0.18,-0.05,1.65,0.9,1.2,0.75,1.95,Matches
359,Eddie Nketiah,eng ENG,"MF,FW",Crystal Palace,25-267,1999,7,17.6,24.3,72.4,258.9,50,9.14,11.7,78,6.86,8.29,82.8,0.71,1.29,55.6,0.14,0.19,0.07,-0.04,1.43,1.43,0.43,0,1.86,Matches
360,Christopher Nkunku,fr FRA,FW,Chelsea,27-099,1997,6.1,31.6,35.6,88.9,412.5,79.5,20,22.1,90.4,10,10.7,93.8,0.33,0.33,100,0.16,0.28,0.08,-0.11,1.48,2.62,0.66,0,2.95,Matches
361,Matheus Nunes,pt POR,"DF,MF",Manchester City,26-178,1998,9.9,51.1,60.9,83.9,786.7,145.8,29.1,32.4,89.7,18.4,21.8,84.3,2.93,4.24,69,0.4,0.29,0.21,0.11,1.82,1.62,1.92,0.61,3.43,Matches
362,Darwin Nunez,uy URU,FW,Liverpool,25-242,1999,10,11.7,17,68.8,179.7,42.1,6.5,8.2,79.3,3.5,4.9,71.4,1.1,1.5,73.3,0.2,0.1,0.04,0.1,0.7,0.8,0,0,2,Matches
363,Ethan Nwaneri,eng ENG,"FW,MF",Arsenal,17-337,2007,4.2,32.9,41.7,78.9,483.8,157.9,19.8,21.7,91.2,9.52,12.1,78.4,2.14,4.52,47.4,0.24,0.17,0.24,0.07,1.67,2.38,0.95,0.24,4.05,Matches
364,Christian Norgaard,dk DEN,MF,Brentford,30-348,1994,19.8,37.8,46.3,81.7,627.2,210.3,19.3,21.9,88,15.5,18.3,84.8,2.47,4.09,60.5,0.1,0.03,0.03,0.07,0.56,4.85,0.61,0.1,4.55,Matches
365,Jake O'Brien,ie IRL,DF,Everton,23-282,2001,5.5,32.4,43.6,74.2,593.5,247.6,15.3,17.3,88.4,13.1,18.2,72,4,6.18,64.7,0,0.02,0.02,-0.02,0.18,2.18,0.55,0.18,2,Matches
366,Matt O'Riley,dk DEN,MF,Brighton,24-092,2000,5.3,34.5,43.4,79.6,518.3,131.5,18.5,20,92.5,11.1,13.4,83.1,2.64,6.6,40,0.19,0.23,0.23,-0.04,2.08,3.21,0.75,0,4.15,Matches
367,Dara O'Shea,ie IRL,DF,Ipswich Town,25-354,1999,21.7,37.6,48.5,77.6,737.2,319,12.9,15,86.5,20.3,23.7,85.4,3.96,8.16,48.6,0,0,0.01,0,0,2.63,0.05,0,2.35,Matches
368,Chidozie Obi-Martin,dk DEN,MF,Manchester Utd,17-084,2007,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
369,Wilson Odobert,fr FRA,FW,Tottenham,20-085,2004,1.8,33.3,43.9,75.9,410,61.1,23.9,26.1,91.5,7.78,11.1,70,0,0.56,0,0,0.06,0.06,-0.06,1.67,1.67,1.67,0,5.56,Matches
370,Chiedozie Ogbene,ie IRL,FW,Ipswich Town,27-296,1997,2.6,12.3,16.5,74.4,159.6,10.4,7.69,9.23,83.3,3.08,3.85,80,0.38,0.38,100,0,0.04,0,-0.04,0.77,0,0,0,0,Matches
371,Caleb Okoli,it ITA,DF,Leicester City,23-223,2001,10.2,45.9,53.1,86.3,801.9,324,20.6,22.5,91.7,21.5,23.6,90.9,3.24,5.88,55,0,0,0.01,0,0,1.47,0,0,2.65,Matches
372,Robin Olsen,se SWE,GK,Aston Villa,35-044,1990,0.5,32,42,76.2,716,434,12,12,100,16,16,100,4,14,28.6,0,0,0,0,0,0,0,0,0,Matches
373,Amadou Onana,be BEL,MF,Aston Villa,23-189,2001,12,38.7,43.8,88.2,599.2,135.3,19.4,20.6,94.3,16.7,18.5,90.1,1.5,2.08,72,0,0.02,0.02,-0.02,0.42,2.67,0.42,0.08,3,Matches
374,Andre Onana,cm CMR,GK,Manchester Utd,28-325,1996,25,29.5,39.6,74.5,691.9,419.8,7.44,7.52,98.9,15.9,16,99.3,6,15.7,38.2,0,0.01,0.01,-0.01,0.04,0.84,0,0,0.04,Matches
375,Paul Onuachu,ng NGA,FW,Southampton,30-269,1994,7,15.3,24.4,62.6,222.1,32.6,7.86,12.7,61.8,4.43,7.14,62,1.29,1.86,69.2,0.14,0.06,0.03,0.09,1,1.14,0.29,0,1.29,Matches
376,Frank Onyeka,ng NGA,MF,Brentford,27-051,1998,0.3,20,23.3,85.7,236.7,63.3,16.7,16.7,100,3.33,3.33,100,0,0,,0,0,0,0,0,0,3.33,0,3.33,Matches
377,Lewis Orford,eng ENG,MF,West Ham,19-003,2006,0.5,66,76,86.8,1166,166,22,26,84.6,36,40,90,4,6,66.7,0,0,0,0,4,4,2,2,0,Matches
378,Stefan Ortega,de GER,GK,Manchester City,32-107,1992,9,31.1,37,84.1,680.9,463.7,9.44,9.67,97.7,15,15.3,97.8,6.44,11.6,55.8,0,0,0,0,0,0.33,0,0,0,Matches
379,William Osula,dk DEN,"FW,MF",Newcastle Utd,21-201,2003,0.5,6,12,50,82,38,2,6,33.3,2,4,50,0,0,,0,0.2,0,-0.2,2,0,2,0,2,Matches
380,Dango Ouattara,bf BFA,FW,Bournemouth,23-010,2002,14.8,16.7,27.4,61,266,76.5,9.32,12.8,72.6,6.08,9.32,65.2,1.08,2.97,36.4,0.27,0.27,0.17,0,1.42,0.68,1.15,0.54,1.69,Matches
381,Nico O’Reilly,eng ENG,"MF,DF",Manchester City,19-337,2005,0.3,56.7,60,94.4,676.7,110,50,50,100,6.67,10,66.7,0,0,,0,0,0,0,0,0,0,0,0,Matches
382,Alex Palmer,eng ENG,GK,Ipswich Town,28-195,1996,1,22,37,59.5,699,559,3,3,100,11,11,100,8,23,34.8,0,0,0,0,0,0,0,0,0,Matches
383,Cole Palmer,eng ENG,MF,Chelsea,22-291,2002,24.3,32.1,42.6,75.3,617.6,162.6,13,15.3,84.7,13.1,15.6,83.7,5.27,9.01,58.4,0.25,0.34,0.28,-0.09,2.63,4.57,1.85,0.45,6.01,Matches
384,Emerson Palmieri,it ITA,DF,West Ham,30-202,1994,18.6,36,45.8,78.5,528.9,197.7,21,23.8,88.3,12,14.9,80.2,1.99,4.73,42,0.05,0.08,0.1,-0.03,0.81,2.1,0.48,0.22,2.53,Matches
385,Lucas Paqueta,br BRA,"MF,FW",West Ham,27-178,1997,18.9,38.6,50.2,76.9,638.5,201,20.3,24.2,84,13.1,16.7,78.5,4.23,6.72,63,0,0.11,0.11,-0.11,1.38,4.55,1.48,0.05,4.87,Matches
386,Thomas Partey,gh GHA,"MF,DF",Arsenal,31-253,1993,21.4,53.7,61.4,87.4,861.4,234.7,28.3,30.2,93.7,21.4,24.4,87.4,3.22,4.63,69.7,0.09,0.07,0.07,0.02,0.61,4.77,1.17,0.09,6.03,Matches
387,Nathan Patterson,sct SCO,"DF,FW",Everton,23-128,2001,1.4,42.9,58.6,73.2,731.4,325,21.4,22.1,96.8,16.4,26.4,62.2,4.29,7.86,54.5,0,0.21,0.21,-0.21,1.43,5,2.86,1.43,5,Matches
388,Andreas Pereira,br BRA,MF,Fulham,29-051,1996,14.3,33.6,47.8,70.2,603.2,190.3,15.7,18.7,83.6,12.7,16,79.5,4.34,10.4,41.6,0.14,0.21,0.22,-0.07,2.66,3.15,1.05,0.28,5.31,Matches
389,Ricardo Pereira,pt POR,DF,Leicester City,31-138,1993,1.6,47.5,55,86.4,700,229.4,29.4,32.5,90.4,14.4,18.1,79.3,2.5,2.5,100,0,0,0,0,0,5,0,0,3.13,Matches
390,Kalvin Phillips,eng ENG,MF,Ipswich Town,29-081,1995,10.6,31.8,39.8,79.9,619,171.6,12.6,14.8,85.4,14.2,16.7,84.7,4.53,6.98,64.9,0,0.01,0.03,-0.01,0.19,3.68,0.38,0.09,3.49,Matches
391,Jaden Philogene Bidace,eng ENG,"FW,MF",Aston Villa,23-013,2002,3.7,17,23.2,73.3,229.7,43.5,10.8,13.2,81.6,4.86,5.68,85.7,0.54,0.81,66.7,0,0.08,0.05,-0.08,0.27,0.27,0.81,0,1.08,Matches
392,Jaden Philogene Bidace,eng ENG,"FW,MF",Ipswich Town,23-013,2002,1.5,20,27.3,73.2,338,57.3,11.3,13.3,85,4,5.33,75,2.67,4.67,57.1,0,0,0,0,0,0.67,0.67,0.67,1.33,Matches
393,Jordan Pickford,eng ENG,GK,Everton,30-351,1994,25,26.9,41.8,64.3,885.8,679,3.76,3.8,98.9,11.1,11.3,98.6,12,26.4,45.5,0.04,0.02,0.01,0.02,0.08,2.04,0.24,0,0,Matches
394,Ethan Pinnock,jm JAM,DF,Brentford,31-268,1993,16.3,43.9,52.2,84.1,812.8,290.4,16.6,17.7,94.1,23.2,26.3,88.3,3.8,7.06,53.9,0,0.07,0.04,-0.07,0.49,2.33,0.25,0.06,2.02,Matches
395,Daniel Podence,pt POR,"MF,FW",Wolves,29-123,1995,0.5,22,32,68.8,264,156,14,14,100,6,6,100,0,4,0,0,0,0,0,0,2,2,0,4,Matches
396,Alfie Pond,eng ENG,DF,Wolves,20-357,2004,0,1,1,100,23,0,0,0,,1,1,100,0,0,,0,0,0,0,0,0,0,0,0,Matches
397,Nick Pope,eng ENG,GK,Newcastle Utd,32-308,1992,15,20.9,29.4,71.2,522.8,332.3,5.07,5.07,100,10.3,10.5,98.7,5.4,13.7,39.5,0,0,0,0,0,0.07,0,0,0,Matches
398,Pedro Porro,es ESP,DF,Tottenham,25-161,1999,23.1,46.8,63.9,73.2,805.9,315.7,23.7,27.2,87.3,17.3,22.3,77.8,4.63,10.4,44.6,0.22,0.12,0.13,0.1,1.6,4.33,1.95,0.78,5.45,Matches
399,Jarell Quansah,eng ENG,DF,Liverpool,22-023,2003,3.1,58.7,64.8,90.5,1030,342.6,21.3,21.9,97.1,34.2,37.4,91.4,2.26,3.87,58.3,0,0,0.03,0,0,4.52,0,0,2.58,Matches
400,Hakon Rafn Valdimarsson,is ISL,GK,Brentford,23-131,2001,1.6,28.8,43.8,65.7,903.1,693.8,5,5,100,13.1,13.1,100,10.6,25.6,41.5,0,0,0,0,0,1.25,0,0,0,Matches
401,Aaron Ramsdale,eng ENG,GK,Southampton,26-283,1998,17,28.4,42.7,66.5,782.2,618.1,8.24,8.24,100,10.7,11.3,94.8,9.12,22.6,40.4,0,0,0,0,0,1.47,0.06,0,0,Matches
402,Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,23-269,2001,11.9,29.4,34.4,85.6,382.4,86,21,22.8,92.3,6.64,8.07,82.3,0.84,1.26,66.7,0.17,0.14,0.14,0.03,1.01,1.34,1.09,0,3.87,Matches
403,Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,27-113,1997,10.9,23.2,31.5,73.8,321.8,79.6,15.4,18.4,83.6,5.14,7.8,65.9,1.28,2.57,50,0.09,0.19,0.13,-0.1,1.38,1.19,1.47,0.73,1.93,Matches
404,Marcus Rashford,eng ENG,FW,Aston Villa,27-113,1997,1.2,40.8,60.8,67.1,575,145.8,25,29.2,85.7,10,15,66.7,3.33,10,33.3,0,0.5,0.67,-0.5,3.33,0,5,0.83,6.67,Matches
405,David Raya,es ESP,GK,Arsenal,29-159,1995,25,26.5,36.4,72.7,666.4,460.7,6.88,6.96,98.9,13.4,13.6,98.5,6.2,15.8,39.3,0,0,0,0,0,1.28,0.04,0,0.24,Matches
406,Harrison Reed,eng ENG,MF,Fulham,30-025,1995,0.8,40,56.3,71.1,580,157.5,21.3,25,85,13.8,16.3,84.6,2.5,5,50,0,0.13,0.13,-0.13,1.25,0,1.25,0,5,Matches
407,Remy Rees-Dottin,eng ENG,FW,Bournemouth,18-352,2006,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
408,Sergio Reguilon,es ESP,DF,Tottenham,28-067,1996,1.4,52.1,75,69.5,817.1,292.9,23.6,31.4,75,25.7,33.6,76.6,2.14,6.43,33.3,0,0,0.14,0,0.71,7.86,1.43,0.71,8.57,Matches
409,Bobby Reid,jm JAM,"FW,MF",Leicester City,32-019,1993,5.8,18.8,26.4,71.2,242.6,79,11.2,13.8,81.3,5.34,7.24,73.8,0.34,1.55,22.2,0.34,0.21,0.02,0.14,1.03,1.38,0.69,0,2.24,Matches
410,Chadi Riad,ma MAR,DF,Crystal Palace,21-249,2003,1,70,82,85.4,1411,568,24,28,85.7,38,41,92.7,8,13,61.5,0,0,0,0,0,8,1,0,7,Matches
411,Declan Rice,eng ENG,MF,Arsenal,26-038,1999,20.3,45.8,55.1,83.2,796.7,211.8,22,23.7,92.5,18.4,20.3,90.6,4.48,9.01,49.7,0.25,0.26,0.2,-0.01,1.92,4.53,1.18,0.15,6.65,Matches
412,Chris Richards,us USA,DF,Crystal Palace,24-330,2000,11.9,35.6,44.2,80.6,626.9,226.2,15,16.9,88.6,17.5,19.6,89.3,2.86,6.22,45.9,0,0.01,0.01,-0.01,0.17,1.34,0,0,2.18,Matches
413,Richarlison,br BRA,FW,Tottenham,27-287,1997,3.1,15.8,24.2,65.3,241.9,87.7,7.74,10.3,75,5.16,8.39,61.5,1.61,2.26,71.4,0.32,0.29,0.19,0.03,1.29,2.26,1.29,0.65,3.23,Matches
414,Andrew Robertson,sct SCO,DF,Liverpool,30-347,1994,21.1,59.5,71.3,83.5,998.2,302.9,29.3,30.9,94.8,25,28.8,86.7,4.41,9.1,48.4,0,0.19,0.16,-0.19,1.66,5.4,1.18,0.71,6.49,Matches
415,Antonee Robinson,us USA,DF,Fulham,27-197,1997,25,47.1,61.4,76.7,806.6,307.3,22.8,26.2,87,19.6,24.7,79.4,4.04,7.36,54.9,0.4,0.14,0.12,0.26,1.32,3.64,1.84,0.96,3.72,Matches
416,Rodri,es ESP,MF,Manchester City,28-244,1996,0.7,81.4,87.1,93.4,1508.6,357.1,35.7,37.1,96.2,34.3,38.6,88.9,10,10,100,0,0,0.14,0,1.43,4.29,1.43,0,5.71,Matches
417,Guido Rodriguez,ar ARG,MF,West Ham,30-315,1994,11.3,37.1,44.1,84.1,632.7,177,17.8,20.4,87.4,15.9,17.4,91.4,2.83,4.51,62.7,0,0.01,0.01,-0.01,0.27,3.19,0.09,0,2.74,Matches
418,Mads Roerslev,dk DEN,DF,Brentford,25-242,1999,12.2,34.6,43.9,78.7,567.6,184.3,16.8,19.1,88,14.7,18.4,79.9,2.21,4.02,55.1,0.16,0.25,0.17,-0.08,1.15,3.03,0.9,0.33,4.18,Matches
419,Morgan Rogers,eng ENG,"MF,FW",Aston Villa,22-210,2002,23.1,20,27.3,73.2,280,96.3,11.6,14.3,80.7,5.63,7.49,75.1,1.34,1.73,77.5,0.17,0.2,0.14,-0.03,1.47,2.03,1.73,0.09,3.55,Matches
420,Cristian Romero,ar ARG,DF,Tottenham,26-300,1998,10.8,73.4,81.5,90.1,1370.9,536.9,25.5,27.6,92.3,41.8,44.2,94.5,5.28,7.87,67.1,0,0.05,0.06,-0.05,0.56,7.87,0.65,0.09,4.44,Matches
421,Georginio Rutter,fr FRA,"FW,MF",Brighton,22-307,2002,14.9,13.3,19.7,67.3,194,68.7,7.58,9.8,77.4,4.5,6.51,69.1,0.67,1.07,62.5,0.13,0.12,0.09,0.01,0.94,1.88,1.01,0.07,4.09,Matches
422,Jose Sa,pt POR,GK,Wolves,32-035,1993,18,19.9,32.3,61.7,522.3,356.3,4.17,4.22,98.7,10.8,11.2,97,4.89,16.8,29,0,0.01,0,-0.01,0.11,0.72,0.06,0,0.11,Matches
423,Bukayo Saka,eng ENG,"FW,MF",Arsenal,23-169,2001,14.1,28.8,38.7,74.4,447.9,136,16.9,18.8,89.8,8.44,11.6,73,2.55,5.46,46.8,0.71,0.41,0.4,0.3,2.98,0.78,1.99,0.64,3.76,Matches
424,Mohamed Salah,eg EGY,FW,Liverpool,32-251,1992,25.5,23.5,33.4,70.3,354.5,102.2,13.1,15.8,83.1,7.92,11.2,70.6,1.57,2.71,58,0.59,0.38,0.24,0.21,2.2,1.49,2.59,0.47,3.76,Matches
425,William Saliba,fr FRA,DF,Arsenal,23-334,2001,22.3,67.2,71.6,93.9,1163.3,349.4,28.4,29.7,95.6,34.7,36.3,95.7,3.9,4.75,82.1,0,0.02,0.04,-0.02,0.18,4.98,0.13,0,3.54,Matches
426,Robert Sanchez,es ESP,GK,Chelsea,27-095,1997,21,29.9,40.8,73.3,697,457.6,7.67,7.71,99.4,15.7,16.3,96.2,6.43,16.3,39.4,0,0,0,0,0,0.67,0.05,0,0.05,Matches
427,Jadon Sancho,eng ENG,FW,Chelsea,24-333,2000,13.1,33.7,40.8,82.8,450.2,103.1,21.5,24.1,89.2,10.2,12.1,84.8,0.69,1.37,50,0.31,0.2,0.18,0.11,1.76,1.37,2.21,0,4.58,Matches
428,Ibrahim Sangare,ci CIV,MF,Nott'ham Forest,27-081,1997,2.8,38.2,49.3,77.5,545.4,162.1,23.6,26.8,88,12.1,15.4,79.1,1.79,3.57,50,0.36,0.11,0.04,0.25,0.71,2.5,0.36,0,3.93,Matches
429,Pablo Sarabia,es ESP,"MF,FW",Wolves,32-286,1992,5.2,26.2,40.4,64.8,441,165.2,11.7,14.4,81.3,9.81,12.9,76.1,2.69,6.73,40,0.19,0.12,0.15,0.08,1.15,3.08,1.92,0,5.58,Matches
430,Jeremy Sarmiento,ec ECU,MF,Brighton,22-250,2002,0.1,60,60,100,740,10,40,40,100,20,20,100,0,0,,0,0,0,0,0,0,0,0,0,Matches
431,Ismaila Sarr,sn SEN,"MF,FW",Crystal Palace,26-362,1998,18.7,16.7,25.1,66.7,250.9,70,9.09,12.2,74.2,6.52,9.25,70.5,0.7,1.5,46.4,0.16,0.25,0.22,-0.09,1.34,0.86,1.5,0.21,2.94,Matches
432,Savio,br BRA,"FW,MF",Manchester City,20-317,2004,14,35.5,44.1,80.6,525.9,97.1,22.5,25.1,89.7,10.5,13.4,78.2,1.86,3.07,60.5,0.5,0.39,0.38,0.11,2.29,0.86,2.86,0.57,3.79,Matches
433,Oliver Scarles,eng ENG,DF,West Ham,19-071,2005,1.8,37.8,51.1,73.9,624.4,150,17.2,20.6,83.8,19.4,23.3,83.3,1.11,5.56,20,0,0,0,0,0,1.11,0.56,0,3.89,Matches
434,Dane Scarlett,eng ENG,FW,Tottenham,20-334,2004,0.1,10,20,50,80,0,10,10,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
435,Kevin Schade,de GER,FW,Brentford,23-086,2001,13.8,12.4,20.9,59.2,182.7,51,6.81,10.1,67.6,4.71,7.68,61.3,0.36,0.94,38.5,0.14,0.17,0.07,-0.02,0.72,1.52,0.36,0,1.96,Matches
436,Fabian Schar,ch SUI,DF,Newcastle Utd,33-063,1991,19.8,52.3,62.6,83.5,1035.5,411.7,18.9,20.4,92.8,27.3,29.4,92.6,5.86,11.6,50.4,0,0.02,0.04,-0.02,0.15,4.95,0.45,0,3.43,Matches
437,Jeffrey Schlupp,gh GHA,"MF,DF",Crystal Palace,32-060,1992,1.1,35.5,45.5,78,537.3,130.9,14.5,17.3,84.2,16.4,20.9,78.3,1.82,3.64,50,0,0.18,0.09,-0.18,2.73,3.64,1.82,0,4.55,Matches
438,Alex Scott,eng ENG,MF,Bournemouth,21-184,2003,3.1,41.6,46.8,89,719.4,267.7,20,21.6,92.5,18.4,19.4,95,2.9,3.87,75,0,0.06,0.1,-0.06,1.61,8.06,1.29,0,11.6,Matches
439,Matz Sels,be BEL,GK,Nott'ham Forest,32-361,1992,25,13.5,26.2,51.5,517.9,450.1,2.12,2.12,100,3.72,3.84,96.9,7.64,20,38.3,0,0,0,0,0,1.16,0.08,0,0.04,Matches
440,Nelson Semedo,pt POR,DF,Wolves,31-097,1993,19.9,33,41.3,80,520.9,151.7,17.6,19.4,90.4,12.7,15.1,84.1,2.21,4.42,50,0.15,0.12,0.05,0.04,0.8,2.46,0.5,0.3,2.06,Matches
441,Antoine Semenyo,gh GHA,FW,Bournemouth,25-045,2000,23.4,22.3,31.2,71.5,319.7,79.7,13.5,16.2,83.6,7.01,9.44,74.2,0.94,2.74,34.4,0.17,0.18,0.14,-0.01,1.24,1.54,1.28,0.21,2.91,Matches
442,Marcos Senesi,ar ARG,DF,Bournemouth,27-287,1997,10.2,43.1,56.7,76.1,892.9,467.1,16,18.3,87.2,20,23.2,86.1,6.96,14.1,49.3,0,0.04,0.05,-0.04,0.49,6.47,1.18,0.29,4.41,Matches
443,Ryan Sessegnon,eng ENG,"MF,FW",Fulham,24-279,2000,0.2,15,40,37.5,125,0,15,25,60,0,10,0,0,0,,0,0,0,0,0,0,0,0,0,Matches
