Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,01-Mar,PPA,CrsPA,PrgP,Matches
70,Dan Burn,eng ENG,DF,Newcastle Utd,32-288,1992,24,47.8,53,90.2,856.4,300.2,17.2,18.7,91.8,27.6,28.8,95.8,2.63,4.17,63,0,0.01,0.03,-0.01,0.13,0.71,0.25,0,1.63,Matches
71,Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-090,1994,10.3,14.9,24.6,60.5,234.6,58,7.96,9.9,80.4,4.95,7.57,65.4,1.36,3.5,38.9,0.1,0.16,0.12,-0.06,0.97,0.78,0.78,0.68,0.78,Matches
72,Moises Caicedo,ec ECU,MF,Chelsea,23-111,2001,24.3,55.6,62.2,89.3,943.4,250.6,25.4,27.5,92.2,24.6,26.6,92.4,4.4,5.84,75.4,0.08,0.09,0.07,-0.01,0.86,6.54,0.91,0.08,5.31,Matches
73,Tom Cairney,sct SCO,MF,Fulham,34-032,1991,4.4,93.2,101.4,91.9,1462,315.2,52,55.2,94.2,34.3,36.1,95,5.91,7.5,78.8,0,0.16,0.2,-0.16,1.59,9.55,1.59,0.68,9.77,Matches
74,Jens Cajuste,se SWE,MF,Ipswich Town,25-195,1999,12.5,29.9,35.9,83.3,491,90.2,13.8,15.6,88.7,13.9,15.8,87.9,1.44,2.8,51.4,0,0.02,0.02,-0.02,0.56,2,0.24,0,2.4,Matches
75,Riccardo Calafiori,it ITA,DF,Arsenal,22-278,2002,8.5,43.2,50.9,84.8,635.2,167.2,25.6,27.9,92,14.9,17.9,83.6,1.88,2.59,72.7,0.12,0.02,0.07,0.09,0.47,3.53,0.59,0.12,4.59,Matches
76,Dominic Calvert-Lewin,eng ENG,FW,Everton,27-342,1997,17.5,9.94,15.9,62.6,116.3,27.9,7.2,10.3,70,2,3.43,58.3,0.17,0.46,37.5,0.06,0.03,0.04,0.02,0.4,1.09,0.29,0.06,1.09,Matches
77,Diego Carlos,br BRA,DF,Aston Villa,31-343,1993,9.2,58,65.5,88.6,1189.2,446,15,16.4,91.4,37.1,39.3,94.2,5.87,9.02,65.1,0,0,0.01,0,0,2.5,0.11,0,3.7,Matches
78,Fabio Carvalho,pt POR,"FW,MF",Brentford,22-175,2002,4.8,24.8,35.2,70.4,354.6,88.8,15.4,18.8,82.2,6.67,8.96,74.4,1.46,3.75,38.9,0.21,0.1,0.1,0.1,0.63,2.29,1.04,0.21,3.54,Matches
79,Casemiro,br BRA,MF,Manchester Utd,32-364,1992,10.3,48.8,61.4,79.6,817.1,254.5,23.4,26.7,87.6,19.8,23.4,84.6,4.17,6.5,64.2,0,0.21,0.17,-0.21,1.75,5.05,1.46,0.49,4.85,Matches
80,Kaelan Casey,eng ENG,DF,West Ham,20-116,2004,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
81,Matty Cash,pl POL,DF,Aston Villa,27-198,1997,14.2,33.5,42.3,79,538.7,162.8,17.2,19.2,89.7,13.9,17.5,79.5,1.69,3.8,44.4,0.07,0.07,0.07,0,0.63,1.97,0.28,0.21,2.04,Matches
82,Timothy Castagne,be BEL,DF,Fulham,29-078,1995,11,47,56.7,82.9,751.4,227.8,23.2,25.4,91.4,20,23.1,86.6,2.36,4.82,49.1,0.09,0.1,0.03,-0.01,0.55,3,0.18,0.18,3.64,Matches
83,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-231,1999,11.8,29.6,37.5,79,578.9,186,10.6,11.9,88.7,15.1,17.7,85.2,3.56,6.95,51.2,0,0.03,0.03,-0.03,0.34,2.29,0.17,0.08,2.88,Matches
84,Trevoh Chalobah,eng ENG,DF,Chelsea,25-231,1999,3,75.3,81.7,92.2,1307.3,395,33.7,35.3,95.3,36.3,37.3,97.3,5,8,62.5,0.33,0.37,0.07,-0.03,0.67,4.67,0.33,0,4,Matches
85,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,28-005,1997,6.8,25,33.7,74.2,390,102.8,12.5,14.9,84.2,10.9,13.8,78.7,0.88,2.5,35.3,0.15,0.09,0.09,0.06,0.88,2.5,1.03,0.29,3.68,Matches
86,Federico Chiesa,it ITA,FW,Liverpool,27-119,1997,0.3,50,60,83.3,560,133.3,36.7,40,91.7,6.67,10,66.7,3.33,3.33,100,0,0,0.33,0,0,6.67,0,0,3.33,Matches
87,Ben Chilwell,eng ENG,DF,Crystal Palace,28-062,1996,0.3,50,76.7,65.2,736.7,103.3,26.7,30,88.9,23.3,33.3,70,0,13.3,0,0,0,1,0,0,3.33,3.33,0,3.33,Matches
88,Chiquinho,pt POR,MF,Wolves,25-016,2000,0.1,30,30,100,710,220,10,10,100,10,10,100,10,10,100,0,0,0,0,10,0,10,10,0,Matches
89,Hamza Choudhury,eng ENG,"MF,DF",Leicester City,27-143,1997,1.5,48,56,85.7,660.7,166,31.3,33.3,94,15.3,19.3,79.3,1.33,2.67,50,0,0.27,0.13,-0.27,1.33,6.67,0.67,0.67,2,Matches
90,Ryan Christie,sct SCO,MF,Bournemouth,29-365,1995,20.4,35.4,44.4,79.7,628.1,182.5,16,18.1,88.4,15.4,17.5,88.2,3.58,7.01,51,0.15,0.16,0.13,-0.01,1.62,4.9,1.23,0.15,5.98,Matches
91,Harry Clarke,eng ENG,DF,Ipswich Town,23-356,2001,4.2,45.2,56.2,80.5,819.5,291.9,20.7,22.6,91.6,18.3,21,87.5,5.48,9.52,57.5,0,0,0.02,0,0.24,5,0.24,0,3.33,Matches
92,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-090,2000,7.1,23,30.1,76.2,371.3,91.4,12.1,13.5,89.6,9.15,10.1,90.3,1.27,3.24,39.1,0.28,0.17,0.1,0.11,1.41,1.69,0.42,0,2.54,Matches
93,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,33-322,1991,4.4,26.6,36.1,73.6,496.4,199.5,11.1,14.3,77.8,12.5,14.1,88.7,2.73,5.45,50,0,0.02,0.02,-0.02,0.45,2.27,0.23,0.23,1.36,Matches
94,Conor Coady,eng ENG,DF,Leicester City,31-362,1993,8,48.9,54.6,89.5,845.6,308,21.1,22,96,24.8,25.9,95.7,3,5.88,51.1,0,0.01,0.06,-0.01,0.13,2.5,0.25,0,2.38,Matches
