Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
85,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,28-005,1997,15,7,614,6.8,0.15,0.15,0.29,0.15,0,0,0.15,0,0.18,0.18,0.09,0.26,1.47,3.68,2.94,0.15,0.15,0.29,0.15,0.29,0.17,0.09,0.26,0.17,0.26,Matches
86,Federico Chiesa,it ITA,FW,Liverpool,27-119,1997,3,0,28,0.3,0,0,0,0,0,0,0,0,0.67,0.67,0,0.67,6.67,3.33,13.3,0,0,0,0,0,0.52,0,0.52,0.52,0.52,Matches
87,Ben Chilwell,eng ENG,DF,Crystal Palace,28-062,1996,1,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,13.3,0,0,0,0,0,0.13,0,0.13,0.13,0.13,Matches
88,Chiquinho,pt POR,MF,Wolves,25-016,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.42,0,0.42,Matches
89,Hamza Choudhury,eng ENG,"MF,DF",Leicester City,27-143,1997,4,1,131,1.5,0,0,0,0,0,0,0,0,0,0,0.27,0.27,2.67,2,4,0,0,0,0,0,0,0.27,0.27,0,0.27,Matches
90,Ryan Christie,sct SCO,MF,Bournemouth,29-365,1995,24,22,1840,20.4,0.1,0.15,0.25,0.1,0,0,0.44,0,0.07,0.07,0.16,0.23,1.37,5.98,1.96,0.1,0.15,0.24,0.1,0.24,0.07,0.16,0.23,0.07,0.23,Matches
91,Harry Clarke,eng ENG,DF,Ipswich Town,23-356,2001,7,4,379,4.2,0,0,0,0,0,0,0.71,0.24,0.02,0.02,0,0.02,1.19,3.33,0.48,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches
92,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-090,2000,20,5,637,7.1,0,0.28,0.28,0,0,0,0.14,0,0.11,0.11,0.17,0.3,2.25,2.54,4.08,0,0.28,0.28,0,0.28,0.12,0.18,0.29,0.12,0.29,Matches
93,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,33-322,1991,11,4,397,4.4,0,0,0,0,0,0,0.23,0,0,0,0.02,0.02,1.14,1.36,1.59,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
94,Conor Coady,eng ENG,DF,Leicester City,31-362,1993,10,8,716,8,0,0,0,0,0,0,0.13,0,0,0,0.01,0.01,0,2.38,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
95,Seamus Coleman,ie IRL,DF,Everton,36-133,1988,3,2,197,2.2,0,0,0,0,0,0,0.45,0,0.27,0.27,0,0.27,0.45,3.64,0.91,0,0,0,0,0,0.26,0,0.26,0.26,0.26,Matches
96,Nathan Collins,ie IRL,DF,Brentford,23-297,2001,25,25,2250,25,0.08,0.04,0.12,0.08,0,0,0.08,0,0.09,0.09,0.06,0.14,0.8,3.52,0.64,0.08,0.04,0.12,0.08,0.12,0.09,0.05,0.14,0.09,0.14,Matches
97,Toby Collyer,eng ENG,MF,Manchester Utd,21-049,2004,4,0,124,1.4,0,0,0,0,0,0,0,0,0,0,0.07,0.07,0,3.57,1.43,0,0,0,0,0,0,0.05,0.05,0,0.05,Matches
98,Levi Colwill,eng ENG,DF,Chelsea,21-361,2003,23,23,2069,23,0,0.04,0.04,0,0,0,0.26,0,0.02,0.02,0.04,0.06,0.39,4.35,0.26,0,0.04,0.04,0,0.04,0.02,0.04,0.06,0.02,0.06,Matches
99,Lewis Cook,eng ENG,"MF,DF",Bournemouth,28-018,1997,24,22,2032,22.6,0.04,0.13,0.18,0.04,0,0,0.27,0,0.03,0.03,0.15,0.18,1.19,5.49,1.46,0.04,0.13,0.18,0.04,0.18,0.03,0.15,0.18,0.03,0.18,Matches
100,Maxwel Cornet,ci CIV,FW,Southampton,28-147,1996,2,1,72,0.8,0,0,0,0,0,0,1.25,0,0.25,0.25,0,0.25,1.25,0,6.25,0,0,0,0,0,0.2,0,0.2,0.2,0.2,Matches
101,Vladimir Coufal,cz CZE,DF,West Ham,32-183,1992,15,8,736,8.2,0,0,0,0,0,0,0.24,0,0.02,0.02,0.07,0.1,1.34,3.41,2.56,0,0,0,0,0,0.02,0.08,0.1,0.02,0.1,Matches
102,Woyo Coulibaly,fr FRA,DF,Leicester City,25-277,1999,3,0,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,5.71,0,1.43,0,0,0,0,0,0,0,0,0,0,Matches
103,Aaron Cresswell,eng ENG,DF,West Ham,35-068,1989,10,3,296,3.3,0,0,0,0,0,0,0.61,0,0.03,0.03,0.06,0.12,0.91,3.94,0.61,0,0,0,0,0,0.03,0.07,0.11,0.03,0.11,Matches
104,Marc Cucurella,es ESP,DF,Chelsea,26-214,1998,23,21,1894,21,0.1,0.05,0.14,0.1,0,0,0.38,0.05,0.08,0.08,0.08,0.16,1.1,3.52,3.67,0.1,0.05,0.14,0.1,0.14,0.07,0.08,0.16,0.07,0.16,Matches
105,Jorge Cuenca,es ESP,DF,Fulham,25-096,1999,4,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Matches
