Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,01-Mar,CPA,Mis,Dis,Rec,PrgR,Matches
57,Sven Botman,nl NED,DF,Newcastle Utd,25-040,2000,2.5,62.4,9.6,25.2,35.6,2,2,62.4,1.2,0.4,33.3,0.4,33.3,32.8,140,68.4,0,0,0,0.4,0,40.4,0,Matches
58,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-063,1996,20.4,39.4,0.93,4.71,14.1,21.5,5.59,39.4,4.26,1.72,40.2,2.21,51.7,23.1,174.5,86.9,3.63,1.52,2.01,2.21,2.21,24.8,6.13,Matches
59,Conor Bradley,nir NIR,DF,Liverpool,21-227,2003,4.1,83.7,3.66,25.6,35.9,23.4,4.88,83.7,1.71,0.73,42.9,0.98,57.1,45.4,267.6,144.9,4.15,2.2,1.22,1.95,0.24,51.5,4.39,Matches
60,Jarrad Branthwaite,eng ENG,DF,Everton,22-239,2002,16.1,53.7,7.27,28.6,22.9,2.36,0.93,53.7,0.25,0.12,50,0.06,25,24.5,132,80.3,0.37,0.68,0.12,0.37,0.12,30.9,0.06,Matches
61,James Bree,eng ENG,DF,Southampton,27-133,1997,8.4,61.8,4.29,18.8,27.1,16.4,1.19,61.8,0.71,0.36,50,0.12,16.7,31.8,146,74.9,1.07,1.19,0,0.6,0.48,39.9,3.69,Matches
62,Ben Brereton,cl CHI,FW,Southampton,25-309,1999,5,41.2,0.8,3.8,15.2,22.4,4,41.2,0.8,0.2,25,0.4,50,27.2,158.2,78.8,2.4,2.6,0.8,1.8,0.8,34.2,8.4,Matches
63,Nathan Broadhead,wls WAL,"FW,MF",Ipswich Town,26-322,1998,4.2,41.7,1.43,6.67,20.5,16.4,3.1,41.7,5.48,3.1,56.5,2.14,39.1,21.9,176.7,92.6,2.86,2.14,0.48,1.9,1.9,28.8,4.52,Matches
64,Armando Broja,al ALB,FW,Everton,23-164,2001,1.8,36.1,1.67,5,10.6,22.8,6.11,36.1,6.11,2.78,45.5,2.78,45.5,17.8,223.9,112.2,4.44,2.78,1.67,3.89,3.89,25.6,8.33,Matches
65,David Brooks,wls WAL,FW,Bournemouth,27-228,1997,7.1,46.5,1.27,5.92,16.6,24.9,3.94,46.5,3.66,1.13,30.8,2.11,57.7,28.7,197.7,88.5,3.1,2.25,1.13,2.54,0.99,30.7,8.59,Matches
66,Emi Buendia,ar ARG,"MF,FW",Aston Villa,28-058,1996,1.1,74.5,0,15.5,31.8,28.2,2.73,74.5,1.82,0,0,1.82,100,48.2,168.2,108.2,2.73,4.55,0,3.64,2.73,58.2,5.45,Matches
67,Santiago Bueno,uy URU,DF,Wolves,26-104,1998,15.2,54.5,8.55,27.4,26.1,1.18,0.39,54.5,0.13,0,0,0.13,100,29.4,149.3,77.2,0.07,0.13,0,0.13,0.13,35.6,0.07,Matches
