Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
118,Sepp van den Berg,nl NED,DF,Brentford,23-063,2001,19.5,1.44,0.87,0.87,0.36,0.21,0.62,1.08,57.1,0.46,2.05,1.38,0.67,0.72,2.15,4.67,0.1,Matches
119,Justin Devenny,nir NIR,MF,Crystal Palace,21-133,2003,3.5,2.86,2,1.71,0.86,0.29,2,3.43,58.3,1.43,0.86,0,0.86,0,2.86,2,0,Matches
120,Kiernan Dewsbury-Hall,eng ENG,MF,Chelsea,26-168,1998,1.8,1.11,1.11,0.56,0,0.56,0.56,1.67,33.3,1.11,0.56,0,0.56,0.56,1.67,2.22,0.56,Matches
121,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,22-225,2002,17.7,1.86,1.47,0.34,1.07,0.45,0.85,1.47,57.7,0.62,0.56,0,0.56,0.62,2.49,0.9,0,Matches
122,Ruben Dias,pt POR,DF,Manchester City,27-283,1997,13.1,0.69,0.38,0.23,0.38,0.08,0.23,0.46,50,0.23,0.84,0.76,0.08,1.07,1.76,2.52,0.08,Matches
123,Luis Diaz,co COL,FW,Liverpool,28-039,1997,17.7,1.02,0.56,0.34,0.56,0.11,0.45,1.13,40,0.68,0.79,0,0.79,0.17,1.19,0.4,0.06,Matches
124,Tyler Dibling,eng ENG,"FW,MF",Southampton,18-346,2006,14.1,1.56,0.99,0.43,0.92,0.21,0.64,1.06,60,0.43,0.99,0.21,0.78,0.35,1.91,0.57,0,Matches
125,Lucas Digne,fr FRA,DF,Aston Villa,31-216,1993,21,2.38,1.43,1.33,0.67,0.38,1.62,2.43,66.7,0.81,1,0.19,0.81,1.19,3.57,3.38,0.05,Matches
126,Issa Diop,fr FRA,DF,Fulham,28-043,1997,11.9,1.76,0.84,1.09,0.67,0,0.84,1.18,71.4,0.34,0.76,0.59,0.17,0.59,2.35,4.29,0.17,Matches
127,Axel Disasi,fr FRA,DF,Aston Villa,26-347,1998,2,0,0,0,0,0,0,0.5,0,0.5,0,0,0,1,1,4.5,0,Matches
128,Axel Disasi,fr FRA,DF,Chelsea,26-347,1998,4,1.75,1,1.25,0.25,0.25,1.5,2.75,54.5,1.25,1,0.25,0.75,0.5,2.25,2.75,0.25,Matches
129,Roman Dixon,eng ENG,DF,Everton,20-057,2004,1,5,5,3,2,0,4,4,100,0,1,0,1,1,6,3,0,Matches
130,Matt Doherty,ie IRL,DF,Wolves,33-036,1992,13.9,1.8,1.01,1.29,0.5,0,0.65,1.08,60,0.43,1.08,0.65,0.43,1.22,3.02,3.88,0.07,Matches
131,Jeremy Doku,be BEL,"FW,MF",Manchester City,22-270,2002,8.9,2.25,1.35,0.9,0.79,0.56,0.56,0.9,62.5,0.34,0.67,0.11,0.56,0.22,2.47,0.22,0,Matches
132,Nicolas Dominguez,ar ARG,"MF,FW",Nott'ham Forest,26-238,1998,12.5,3.36,1.68,1.68,1.12,0.56,1.52,2.96,51.4,1.44,2,0.56,1.44,1.68,5.04,2.24,0.08,Matches
133,Patrick Dorgu,dk DEN,DF,Manchester Utd,20-118,2004,1,4,4,1,3,0,4,4,100,0,2,0,2,0,4,1,0,Matches
134,Alfie Dorrington,eng ENG,DF,Tottenham,19-307,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
135,Abdoulaye Doucoure,ml MLI,MF,Everton,32-051,1993,19.7,1.68,0.96,0.76,0.66,0.25,0.36,1.12,31.8,0.76,1.12,0.25,0.86,0.36,2.03,0.76,0.05,Matches
136,Cheick Doucoure,ml MLI,MF,Crystal Palace,25-044,2000,5,3.2,1.6,1.2,1.6,0.4,1,2.2,45.5,1.2,0.8,0,0.8,2.2,5.4,2,0.2,Matches
137,Flynn Downes,eng ENG,MF,Southampton,26-032,1999,15.9,2.14,1.19,1.07,0.88,0.19,0.69,1.7,40.7,1.01,1.19,0.25,0.94,1.38,3.52,2.01,0.19,Matches
138,Tommy Doyle,eng ENG,MF,Wolves,23-127,2001,5.2,2.12,1.15,1.15,0.58,0.38,1.15,2.69,42.9,1.54,1.92,0.77,1.15,0.96,3.08,1.73,0.19,Matches
139,Radu Dragusin,ro ROU,DF,Tottenham,23-018,2002,13.9,0.72,0.43,0.58,0.14,0,0.43,0.86,50,0.43,1.58,1.15,0.43,1.08,1.8,3.53,0.29,Matches
140,Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-037,1989,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.3,0,Matches
