Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
477,Charlie Taylor,eng ENG,DF,Southampton,31-156,1993,3,0.67,0.68,0.67,0,0,0,0,0,0.33,0.34,0.33,0,0,0,0,0,Matches
478,Jack Taylor,ie IRL,MF,Ipswich Town,26-243,1998,4.7,3.62,3.65,2.55,0.21,0.21,0.43,0,0.21,0.21,0.21,0.21,0,0,0,0,0,Matches
479,Mathys Tel,fr FRA,FW,Tottenham,19-300,2005,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
480,Kenny Tete,nl NED,DF,Fulham,29-135,1995,14,1.64,1.64,1.14,0,0.14,0.21,0.14,0,0.21,0.21,0.21,0,0,0,0,0,Matches
481,Thiago,br BRA,FW,Brentford,23-240,2001,1.5,1.33,1.36,0.67,0,0,0,0,0.67,0,0,0,0,0,0,0,0,Matches
482,Luke Thomas,eng ENG,DF,Leicester City,23-256,2001,2,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
483,Youri Tielemans,be BEL,MF,Aston Villa,27-290,1997,24.7,3.44,3.44,2.02,1.13,0.12,0.08,0.04,0.04,0.28,0.28,0.16,0.12,0,0,0,0,Matches
484,Kieran Tierney,sct SCO,"FW,DF",Arsenal,27-261,1997,0.2,5,4.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
485,Jurrien Timber,nl NED,DF,Arsenal,23-249,2001,20.5,2.05,2.05,1.8,0.05,0.1,0,0.05,0.05,0.24,0.24,0.24,0,0,0,0,0,Matches
486,Jean-Clair Todibo,fr FRA,DF,West Ham,25-053,1999,9.6,0.42,0.42,0.31,0,0,0,0,0.1,0,0,0,0,0,0,0,0,Matches
487,Harry Toffolo,eng ENG,DF,Nott'ham Forest,29-186,1995,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
488,Takehiro Tomiyasu,jp JPN,DF,Arsenal,26-108,1998,0.1,10,12.86,10,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
489,Sandro Tonali,it ITA,MF,Newcastle Utd,24-289,2000,17.2,2.27,2.26,1.51,0.06,0.12,0.17,0.23,0.17,0.29,0.29,0.29,0,0,0,0,0,Matches
490,Pau Torres,es ESP,DF,Aston Villa,28-036,1997,17.2,0.64,0.64,0.47,0,0,0.17,0,0,0.12,0.12,0.06,0,0,0.06,0,0,Matches
491,Conor Townsend,eng ENG,DF,Ipswich Town,31-354,1993,1.5,1.33,1.32,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
492,Adama Traore,es ESP,FW,Fulham,29-027,1996,13.6,4.41,4.42,3.53,0,0.51,0.22,0,0.15,0.44,0.44,0.37,0,0.07,0,0,0,Matches
493,Mark Travers,ie IRL,GK,Bournemouth,25-279,1999,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
494,Ryan Trevitt,eng ENG,MF,Brentford,21-346,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
495,Kieran Trippier,eng ENG,DF,Newcastle Utd,34-155,1990,6.5,3.38,3.38,2.15,1.08,0,0.15,0,0,0,0,0,0,0,0,0,0,Matches
496,Leandro Trossard,be BEL,FW,Arsenal,30-079,1994,17.1,3.33,3.34,2.69,0.06,0.18,0.23,0.12,0.06,0.35,0.35,0.35,0,0,0,0,0,Matches
497,Kostas Tsimikas,gr GRE,DF,Liverpool,28-285,1996,4.1,3.17,3.2,1.95,1.22,0,0,0,0,0.49,0.49,0.24,0.24,0,0,0,0,Matches
498,Axel Tuanzebe,cd COD,DF,Ipswich Town,27-099,1997,11.3,0.71,0.71,0.53,0.09,0,0,0.09,0,0,0,0,0,0,0,0,0,Matches
499,Destiny Udogie,it ITA,DF,Tottenham,22-085,2002,15.9,1.76,1.76,1.57,0,0,0.06,0,0.13,0.19,0.19,0.13,0,0,0,0,0.06,Matches
500,Manuel Ugarte Ribeiro,uy URU,MF,Manchester Utd,23-316,2001,12,1.67,1.67,1.25,0,0,0.08,0.17,0.17,0,0,0,0,0,0,0,0,Matches
501,Lesley Ugochukwu,fr FRA,MF,Southampton,20-332,2004,8.8,1.7,1.71,1.25,0,0.11,0.11,0.23,0,0.11,0.11,0,0,0,0.11,0,0,Matches
502,Enes Unal,tr TUR,"FW,MF",Bournemouth,27-287,1997,3.8,2.37,2.35,1.58,0,0,0.53,0.26,0,0.79,0.78,0.53,0,0,0,0.26,0,Matches
503,Virgil van Dijk,nl NED,DF,Liverpool,33-228,1991,26,1.23,1.23,1.04,0,0.04,0.04,0.04,0.08,0.15,0.15,0.15,0,0,0,0,0,Matches
504,Jamie Vardy,eng ENG,FW,Leicester City,38-041,1987,20.7,1.5,1.5,1.11,0,0.14,0.1,0.14,0,0.43,0.43,0.19,0,0.1,0.05,0.1,0,Matches
505,Renato Veiga,pt POR,"DF,MF",Chelsea,21-207,2003,2,0.5,0.49,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,Matches
506,Joel Veltman,nl NED,DF,Brighton,33-037,1992,18.3,1.2,1.21,0.82,0.11,0.11,0.05,0.11,0,0.05,0.05,0,0.05,0,0,0,0,Matches
507,Micky van de Ven,nl NED,DF,Tottenham,23-308,2001,8.8,1.02,1.03,0.68,0,0,0.23,0.11,0,0.23,0.23,0.23,0,0,0,0,0,Matches
508,Bart Verbruggen,nl NED,GK,Brighton,22-187,2002,23,0.13,0.13,0.13,0,0,0,0,0,0.04,0.04,0.04,0,0,0,0,0,Matches
509,Jannik Vestergaard,dk DEN,DF,Leicester City,32-202,1992,14,0.43,0.43,0.36,0,0,0,0,0.07,0,0,0,0,0,0,0,0,Matches
510,Guglielmo Vicario,it ITA,GK,Tottenham,28-137,1996,13,0.23,0.23,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
511,Carlos Vinicius,br BRA,MF,Fulham,29-333,1995,0,1,22.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
512,Kyle Walker,eng ENG,DF,Manchester City,34-269,1990,10.8,1.57,1.58,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
513,Kyle Walker-Peters,eng ENG,DF,Southampton,27-314,1997,22.8,1.84,1.84,1.18,0.09,0.26,0.13,0.09,0.09,0.26,0.26,0.22,0,0.04,0,0,0,Matches
514,Christian Walton,eng ENG,GK,Ipswich Town,29-104,1995,6,0.33,0.33,0.17,0.17,0,0,0,0,0,0,0,0,0,0,0,0,Matches
515,Aaron Wan-Bissaka,eng ENG,DF,West Ham,27-087,1997,23,2.74,2.73,2.22,0.13,0.22,0.09,0,0.09,0.17,0.17,0.13,0,0,0.04,0,0,Matches
516,Danny Ward,wls WAL,GK,Leicester City,31-244,1993,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
517,James Ward-Prowse,eng ENG,MF,West Ham,30-112,1994,0.7,5.71,5.81,1.43,2.86,0,1.43,0,0,0,0,0,0,0,0,0,0,Matches
518,James Ward-Prowse,eng ENG,MF,Nott'ham Forest,30-112,1994,4.4,2.27,2.25,1.36,0.91,0,0,0,0,0.45,0.45,0.23,0.23,0,0,0,0,Matches
519,Ollie Watkins,eng ENG,FW,Aston Villa,29-053,1995,20.2,2.13,2.13,1.39,0,0.2,0.3,0.25,0,0.45,0.44,0.25,0,0.05,0.05,0.1,0,Matches
520,Adam Webster,eng ENG,DF,Brighton,30-048,1995,2.9,1.03,1.05,0.69,0.34,0,0,0,0,0.34,0.35,0.34,0,0,0,0,0,Matches
521,Danny Welbeck,eng ENG,FW,Brighton,34-087,1990,16,2.31,2.32,1.63,0.06,0.19,0.06,0.38,0,0.38,0.38,0.38,0,0,0,0,0,Matches
522,Welington,br BRA,DF,Southampton,24-002,2001,1.4,2.14,2.16,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
523,Timo Werner,de GER,"FW,MF",Tottenham,28-352,1996,5.6,3.21,3.18,2.5,0,0.36,0.18,0.18,0,0.54,0.53,0.54,0,0,0,0,0,Matches
524,Adam Wharton,eng ENG,MF,Crystal Palace,20-264,2004,7.4,4.19,4.17,3.38,0.54,0,0.14,0,0.14,0.14,0.13,0.14,0,0,0,0,0,Matches
525,Ben White,eng ENG,DF,Arsenal,27-136,1997,7.7,1.04,1.04,1.04,0,0,0,0,0,0.13,0.13,0.13,0,0,0,0,0,Matches
526,Mats Wieffer,nl NED,MF,Brighton,25-097,1999,5.2,2.5,2.48,2.5,0,0,0,0,0,0.38,0.38,0.38,0,0,0,0,0,Matches
527,Neco Williams,wls WAL,DF,Nott'ham Forest,23-314,2001,15.8,1.58,1.58,1.14,0.13,0,0.25,0.06,0,0.19,0.19,0.13,0.06,0,0,0,0,Matches
528,Willian,br BRA,MF,Fulham,36-196,1988,0,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
529,Joe Willock,eng ENG,"MF,FW",Newcastle Utd,25-185,1999,7.4,4.05,4.04,3.38,0,0.27,0.27,0.14,0,0.27,0.27,0.27,0,0,0,0,0,Matches
530,Callum Wilson,eng ENG,"FW,MF",Newcastle Utd,32-360,1992,0.9,1.11,1.14,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,Matches
531,Harry Wilson,wls WAL,"FW,MF",Fulham,27-336,1997,9.3,3.23,3.22,2.26,0.65,0,0.11,0.22,0,0.32,0.32,0.22,0,0,0,0.11,0,Matches
532,Harry Winks,eng ENG,MF,Leicester City,29-019,1996,16.2,2.16,2.16,1.67,0.43,0,0.06,0,0,0.19,0.19,0.12,0.06,0,0,0,0,Matches
533,Ben Winterburn,eng ENG,MF,Bournemouth,20-170,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
534,Yoane Wissa,cd COD,FW,Brentford,28-171,1996,19.4,2.16,2.16,1.44,0,0.15,0.21,0.31,0.05,0.31,0.31,0.31,0,0,0,0,0,Matches
535,Chris Wood,nz NZL,FW,Nott'ham Forest,33-076,1991,22.3,1.39,1.39,1.08,0,0.09,0.13,0,0.09,0.18,0.18,0.13,0,0,0,0,0.04,Matches
536,Nathan Wood-Gordon,eng ENG,DF,Southampton,22-266,2002,6.9,0.43,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
537,Luke Woolfenden,eng ENG,DF,Ipswich Town,26-123,1998,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
538,Yehor Yarmoliuk,ua UKR,"MF,FW",Brentford,20-357,2004,7.1,1.55,1.55,1.41,0,0.14,0,0,0,0.28,0.28,0.28,0,0,0,0,0,Matches
539,Ryan Yates,eng ENG,MF,Nott'ham Forest,27-092,1997,16.2,1.73,1.73,1.23,0,0,0.37,0.06,0.06,0.12,0.12,0.06,0,0,0.06,0,0,Matches
540,Leny Yoro,fr FRA,DF,Manchester Utd,19-100,2005,6.1,0.49,0.5,0.16,0,0,0.33,0,0,0,0,0,0,0,0,0,0,Matches
541,Ashley Young,eng ENG,DF,Everton,39-227,1985,16.7,2.1,2.09,1.56,0.36,0,0.06,0.06,0.06,0.36,0.36,0.24,0,0,0.06,0,0.06,Matches
542,Illia Zabarnyi,ua UKR,DF,Bournemouth,22-173,2002,25,1.04,1.04,0.92,0.04,0,0,0,0.08,0,0,0,0,0,0,0,0,Matches
543,Oleksandr Zinchenko,ua UKR,"DF,MF",Arsenal,28-068,1996,2.7,2.22,2.22,1.85,0,0,0.37,0,0,0.37,0.37,0.37,0,0,0,0,0,Matches
544,Joshua Zirkzee,nl NED,"FW,MF",Manchester Utd,23-275,2001,10.8,2.31,2.31,2.13,0,0,0.09,0.09,0,0.28,0.28,0.09,0,0,0.09,0.09,0,Matches
545,Martin Odegaard,no NOR,MF,Arsenal,26-066,1998,15.3,4.51,4.53,3.86,0.39,0.13,0.13,0,0,0.59,0.59,0.59,0,0,0,0,0,Matches
