Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
102,Woyo Coulibaly,fr FRA,DF,Leicester City,25-277,1999,0.7,0,0,0,0,1.43,0,0,5.71,4.29,0,0,0,14.3,0,0,,Matches
103,Aaron Cresswell,eng ENG,DF,West Ham,35-068,1989,3.3,0.61,0,0,0.3,0,0,5.15,0.61,0,0,0,0,2.12,0.91,0.91,50,Matches
104,Marc Cucurella,es ESP,DF,Chelsea,26-214,1998,21,0.38,0.05,0.05,1.24,1.19,0.1,1.05,0.81,1.14,0,0,0,4.05,0.95,2,32.3,Matches
105,Jorge Cuenca,es ESP,DF,Fulham,25-096,1999,1,0,0,0,0,1,0,0,1,1,0,0,0,3,3,1,75,Matches
106,Matheus Cunha,br BRA,"MF,FW",Wolves,25-270,1999,21.8,0.14,0,0,1.56,2.29,0.37,4.45,0.73,0.78,0,0,0,4.82,0.41,0.87,32.1,Matches
107,Patson Daka,zm ZAM,"FW,MF",Leicester City,26-135,1998,3.5,0,0,0,1.14,2.57,0.57,0,0,1.14,0,0,0,1.71,1.43,3.71,27.8,Matches
108,Diogo Dalot,pt POR,DF,Manchester Utd,25-340,1999,23.6,0.17,0,0,1.4,0.3,0.17,1.78,1.27,1.36,0,0.04,0,5.72,1.19,0.68,63.6,Matches
109,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-233,2000,20.9,0.1,0,0,0.48,0.96,0.19,3.88,0.96,1.58,0,0,0,5.17,0.43,0.86,33.3,Matches
110,Danilo,br BRA,MF,Nott'ham Forest,23-298,2001,1.6,0,0,0,0.63,0,0,0.63,0.63,0.63,0,0,0,7.5,0.63,0.63,50,Matches
111,Jayden Danns,eng ENG,MF,Liverpool,19-036,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
112,Kevin Danso,at AUT,DF,Tottenham,26-155,1998,0.9,0,0,0,0,1.11,0,1.11,1.11,0,0,0,0,2.22,0,2.22,0,Matches
113,Ben Davies,wls WAL,DF,Tottenham,31-303,1993,7,0.29,0,0,1,0.43,0,0.14,1,0.57,0,0,0,3.29,3.86,3.43,52.9,Matches
114,Leif Davis,eng ENG,DF,Ipswich Town,25-040,2000,23.5,0.21,0,0,0.98,1.06,0.13,4.72,0.77,0.94,0,0.09,0,4.13,1.11,0.85,56.5,Matches
115,Craig Dawson,eng ENG,DF,Wolves,34-291,1990,10.8,0.19,0,0,0.56,0.46,0.19,0,0.83,0.28,0,0,0.19,3.24,1.94,1.02,65.6,Matches
116,Kevin De Bruyne,be BEL,MF,Manchester City,33-238,1991,11.2,0.18,0,0,0.89,0.98,0.36,7.23,0.45,0.36,0,0,0,3.57,0.27,0.98,21.4,Matches
117,Liam Delap,eng ENG,FW,Ipswich Town,22-013,2003,20.5,0.34,0,0,2.54,1.76,0.63,0.05,0.1,0.29,0.1,0,0,2,1.76,2.34,42.9,Matches
118,Sepp van den Berg,nl NED,DF,Brentford,23-063,2001,19.5,0.05,0,0,0.77,0.26,0.05,0.31,0.72,0.87,0.05,0,0,3.23,3.33,2.92,53.3,Matches
119,Justin Devenny,nir NIR,MF,Crystal Palace,21-133,2003,3.5,0,0,0,1.14,0,0.29,4.57,0,2,0,0,0,4,0.29,2.29,11.1,Matches
120,Kiernan Dewsbury-Hall,eng ENG,MF,Chelsea,26-168,1998,1.8,0,0,0,1.67,1.11,0,0.56,0.56,1.11,0,0,0,1.67,0,0.56,0,Matches
121,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,22-225,2002,17.7,0.17,0,0,1.07,1.3,0.51,2.15,0.62,1.47,0.06,0,0,5.25,0.51,0.85,37.5,Matches
122,Ruben Dias,pt POR,DF,Manchester City,27-283,1997,13.1,0.23,0,0,0.46,0.31,0,0.15,1.07,0.38,0,0,0.08,3.05,1.37,1.07,56.3,Matches
123,Luis Diaz,co COL,FW,Liverpool,28-039,1997,17.7,0.11,0,0,2.15,1.36,0.4,0.9,0.17,0.56,0.11,0,0,3.79,0.51,1.36,27.3,Matches
124,Tyler Dibling,eng ENG,"FW,MF",Southampton,18-346,2006,14.1,0.43,0,0,1.49,2.62,0,1.56,0.35,0.99,0.14,0,0,3.62,0.28,1.21,19,Matches
125,Lucas Digne,fr FRA,DF,Aston Villa,31-216,1993,21,0.14,0,0,0.86,0.57,0.29,6.05,1.19,1.43,0,0,0,4.05,1.38,1.05,56.9,Matches
126,Issa Diop,fr FRA,DF,Fulham,28-043,1997,11.9,0.17,0,0,0.59,0.25,0,0.08,0.59,0.84,0,0,0.08,2.94,1.43,0.76,65.4,Matches
127,Axel Disasi,fr FRA,DF,Aston Villa,26-347,1998,2,0.5,0,0,0.5,0.5,0,0,1,0,0,0,0,4.5,1.5,1,60,Matches
